,mass,charge,p,pdgId,status,pt,eta,phi,beta,gamma,event,run,luminosityBlock,foundTrack,trackCharge,trackPt,trackPhi,trackEta,validHits,missingInnerHits,trackHits,missingOuterHits,validLayers,hpmissingOuterHits
12848,700.048,-1,516.5319999999999,-1000024,62,414.163,-0.689362,-1.2844799999999998,0.593726,1.24275,9729,1,1,1,-1,389.273,-1.2845799999999998,-0.6893779999999999,17,1,0,2,13,1
12849,700.048,1,788.2139999999999,1000024,62,727.0880000000001,-0.40722800000000003,2.93951,0.747686,1.5059,9731,1,1,1,1,682.7389999999999,2.9395700000000002,-0.407206,16,1,0,2,14,0
12850,700.048,-1,910.457,-1000024,62,761.059,-0.6167590000000001,-0.21808200000000003,0.792752,1.64057,9731,1,1,1,-1,741.2460000000001,-0.218092,-0.616735,17,1,0,2,14,0
12851,700.048,1,982.4960000000001,1000024,62,327.345,-1.7632400000000001,-1.11884,0.814413,1.7232900000000002,9724,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12852,700.048,1,1160.77,1000024,62,801.25,-0.915056,2.72086,0.856325,1.9363400000000002,9726,1,1,1,-1,198.278,2.72023,-0.9153959999999999,3,1,0,2,3,9
12853,700.048,1,674.1560000000001,1000024,62,634.864,-0.350035,1.55213,0.693661,1.38831,9732,1,1,1,1,690.544,1.5520200000000002,-0.350116,18,1,0,2,13,1
12854,700.048,1,655.27,1000024,62,309.58,-1.38182,-0.681905,0.683372,1.36973,9741,1,1,1,-1,33.5247,-0.684692,-1.3820299999999999,3,1,0,2,3,6
12855,700.048,-1,721.505,-1000024,62,321.101,-1.44907,2.41372,0.717698,1.43605,9741,1,1,1,-1,369.776,2.41375,-1.4489299999999998,18,1,0,2,11,2
12856,700.048,1,491.167,1000024,62,403.73,0.6468010000000001,1.6159,0.5743510000000001,1.2215799999999999,9739,1,1,1,1,482.955,1.6157299999999999,0.646678,15,1,0,2,14,0
12857,700.048,1,1190.45,1000024,62,224.998,-2.3500900000000002,-0.41848500000000005,0.862002,1.9727599999999998,9733,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12858,700.048,-1,442.61699999999996,-1000024,62,373.51,-0.599301,2.81264,0.534409,1.1831200000000002,9733,1,1,1,-1,588.521,2.8126900000000004,-0.599234,4,1,0,2,4,8
12859,700.048,1,1108.55,1000024,62,108.74600000000001,3.01252,1.30481,0.845519,1.87285,9734,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12860,700.048,1,435.342,1000024,62,224.512,1.28104,1.48629,0.52809,1.17759,9737,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12861,700.048,1,885.785,1000024,62,251.96400000000003,1.92946,-3.1329700000000003,0.784562,1.61277,9736,1,1,1,1,258.032,-3.13299,1.92953,23,1,0,2,16,0
12862,700.048,1,451.62699999999995,1000024,62,179.541,1.57352,0.8495719999999999,0.542113,1.19004,9740,1,1,1,1,150.66899999999998,0.849864,1.57355,10,1,0,2,6,10
12863,700.048,1,818.002,1000024,62,180.1,-2.19415,-2.1427,0.75976,1.53798,9742,1,1,1,-1,81.9338,-2.14455,-2.19421,6,1,0,2,4,10
12864,700.048,-1,292.846,-1000024,62,197.713,0.9453860000000001,0.740418,0.385917,1.08397,9742,1,1,1,-1,195.736,0.740363,0.9456209999999999,11,1,0,2,9,4
12865,700.048,1,761.253,1000024,62,392.93300000000005,-1.28001,1.56388,0.736078,1.47733,9744,1,1,1,1,339.375,1.56387,-1.2799399999999999,11,1,0,2,8,4
12866,700.048,-1,999.492,-1000024,62,309.251,-1.8414,-1.8192,0.819077,1.74312,9744,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
12867,700.048,1,1673.17,1000024,62,408.529,-2.0878099999999997,-1.43441,0.922509,2.59084,9738,1,1,1,1,635.605,-1.4345,-2.08777,10,1,0,2,7,8
12868,700.048,-1,1129.37,-1000024,62,252.45,-2.17861,2.09619,0.849957,1.8980599999999999,9738,1,1,1,-1,218.935,2.09605,-2.17856,21,1,0,2,14,0
12869,700.048,-1,1879.21,-1000024,62,819.115,-1.47224,2.58153,0.93709,2.86462,9735,1,1,1,-1,853.472,2.58147,-1.4721899999999999,18,1,0,2,11,3
12870,700.048,1,1520.52,1000024,62,423.219,-1.9521099999999998,0.589228,0.9083530000000001,2.3911700000000002,9746,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0
